mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_max_features,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
103.27645134925842,10.197107794041031,0.04460597038269043,0.006926608370303175,squared_error,4,auto,100,"{'criterion': 'squared_error', 'max_depth': 4, 'max_features': 'auto', 'n_estimators': 100}",0.7487078406999185,0.7796842825343125,0.735872915724735,0.754755012986322,0.018389946255620637,2
181.70134671529135,0.3127122903553521,0.04848798116048177,0.0025618025647675333,squared_error,4,auto,200,"{'criterion': 'squared_error', 'max_depth': 4, 'max_features': 'auto', 'n_estimators': 200}",0.7499890598771408,0.7805401132080623,0.7359714433193241,0.7555002054681758,0.018607724707891567,1
1.647475242614746,0.01755587080802888,0.03798015912373861,0.00010438130097967714,squared_error,4,sqrt,100,"{'criterion': 'squared_error', 'max_depth': 4, 'max_features': 'sqrt', 'n_estimators': 100}",0.0740957366902173,0.07260122561822935,0.10892250788165636,0.08520649006336767,0.016780852515175616,22
3.180458148320516,0.018977675977221036,0.04492799441019694,0.0002802268253286487,squared_error,4,sqrt,200,"{'criterion': 'squared_error', 'max_depth': 4, 'max_features': 'sqrt', 'n_estimators': 200}",0.08157399786412001,0.10474068115105062,0.1258777649794357,0.10406414799820211,0.018093262428911846,19
0.4158670902252197,0.011316505447519972,0.04095689455668131,0.0008512363415102207,squared_error,4,log2,100,"{'criterion': 'squared_error', 'max_depth': 4, 'max_features': 'log2', 'n_estimators': 100}",0.006239831536919316,0.02350456814633517,0.009620046652570213,0.013121482111941566,0.007470511818933307,30
0.7578748067220052,0.019644646333586813,0.04715863863627116,0.0033923431538613485,squared_error,4,log2,200,"{'criterion': 'squared_error', 'max_depth': 4, 'max_features': 'log2', 'n_estimators': 200}",0.00840320614309964,0.013560154940644886,0.007165537945061362,0.009709633009601962,0.0027692170973268146,31
179.82237648963928,32.40641088462815,0.04177530606587728,0.0009017637082150557,squared_error,6,auto,100,"{'criterion': 'squared_error', 'max_depth': 6, 'max_features': 'auto', 'n_estimators': 100}",0.7467411934230135,0.7793205219209813,0.7330275435528143,0.753029752965603,0.019415104899526314,5
312.5479226907094,0.1386148993047646,0.057006279627482094,0.007744640232410432,squared_error,6,auto,200,"{'criterion': 'squared_error', 'max_depth': 6, 'max_features': 'auto', 'n_estimators': 200}",0.7477435928052628,0.7811027867537631,0.7339905987385817,0.7542789927658692,0.019780851926012862,3
2.670948584874471,0.055430300909060724,0.03644585609436035,0.0021578022714150505,squared_error,6,sqrt,100,"{'criterion': 'squared_error', 'max_depth': 6, 'max_features': 'sqrt', 'n_estimators': 100}",0.07570900889797205,0.12209039367807695,0.12381353363157577,0.10720431206920826,0.02228165006174209,18
5.160269816716512,0.04230266013380553,0.056938886642456055,0.006676853640023378,squared_error,6,sqrt,200,"{'criterion': 'squared_error', 'max_depth': 6, 'max_features': 'sqrt', 'n_estimators': 200}",0.08427295036113935,0.12611315316066862,0.12118647944001504,0.11052419432060767,0.01867108076772001,17
0.5813230673472086,0.007499758234311941,0.03957319259643555,0.001621789011637243,squared_error,6,log2,100,"{'criterion': 'squared_error', 'max_depth': 6, 'max_features': 'log2', 'n_estimators': 100}",0.012258792644325944,0.027828094454927288,0.022646211174558117,0.020911032757937115,0.006473480404467089,27
1.1469105084737141,0.03379369177377098,0.060738325119018555,0.0074884029256525615,squared_error,6,log2,200,"{'criterion': 'squared_error', 'max_depth': 6, 'max_features': 'log2', 'n_estimators': 200}",0.013549709190799342,0.01570403489788441,0.016402076251247122,0.015218606779976959,0.0012140098311307743,29
204.46504513422647,1.0692505984545315,0.04092510541280111,0.0040411980774928665,squared_error,8,auto,100,"{'criterion': 'squared_error', 'max_depth': 8, 'max_features': 'auto', 'n_estimators': 100}",0.7444162013889573,0.7786776762913876,0.7323701653536938,0.7518213476780128,0.019616719671118884,6
406.92518615722656,1.06689380525484,0.05675856272379557,0.011067538253806629,squared_error,8,auto,200,"{'criterion': 'squared_error', 'max_depth': 8, 'max_features': 'auto', 'n_estimators': 200}",0.7463093856045082,0.7804224954294611,0.7327063647383723,0.7531460819241138,0.02007091750862674,4
3.4558444817860923,0.08028491867119614,0.04605889320373535,0.002871785471148431,squared_error,8,sqrt,100,"{'criterion': 'squared_error', 'max_depth': 8, 'max_features': 'sqrt', 'n_estimators': 100}",0.17320151768700043,0.12146634071759466,0.11676679990476824,0.13714488610312112,0.025567973871552123,16
6.8203630447387695,0.023486224377856323,0.06659905115763347,0.003957618316429724,squared_error,8,sqrt,200,"{'criterion': 'squared_error', 'max_depth': 8, 'max_features': 'sqrt', 'n_estimators': 200}",0.141233738260495,0.1416598965423722,0.13462107434374126,0.13917156971553615,0.0032223861569596964,15
0.7359976768493652,0.05367145784604629,0.04699500401814779,0.012991680888115035,squared_error,8,log2,100,"{'criterion': 'squared_error', 'max_depth': 8, 'max_features': 'log2', 'n_estimators': 100}",0.0380332494972937,0.03625904307992478,0.018993414532696873,0.031095235703305118,0.008587879398194283,25
1.3885151545206706,0.034143644746395994,0.06719525655110677,0.0006583436624953971,squared_error,8,log2,200,"{'criterion': 'squared_error', 'max_depth': 8, 'max_features': 'log2', 'n_estimators': 200}",0.02449205729684223,0.02825069818925663,0.012755960109215092,0.021832905198437984,0.006599244626172914,26
